code	store_name	product_ean	location
ZA	Standerton	2327685438521	Africa/Johannesburg
PK	Jhol	4261562619215	Asia/Karachi
IN	Adra	4354101820194	Asia/Kolkata
ZA	Vryheid	3433160165963	Africa/Johannesburg
IT	Ariccia	9736020400414	Europe/Rome
IN	Pujali	3031706070711	Asia/Kolkata
PT	Ponta Delgada	7121624873054	Atlantic/Azores
US	Davis	5595342259704	America/Los_Angeles
RU	Yablonovskiy	7483625042854	Europe/Moscow
US	Taunton	2556661009268	America/New_York
IN	Davangere	4768444949977	Asia/Kolkata
IN	Barbil	6880336036034	Asia/Kolkata
ME	Budva	6511338109371	Europe/Podgorica
TH	Kantharalak	7037457902727	Asia/Bangkok
IN	Gariadhar	3648655384860	Asia/Kolkata
BE	Lille	7057219851216	Europe/Brussels
BR	Miracema	5213011670666	America/Sao_Paulo
BR	Nova Xavantina	2790461306718	America/Cuiaba
AU	Griffith	5235420725133	Australia/Sydney
DE	Memmingen	0666976812902	Europe/Berlin
NG	Olupona	8684483125416	Africa/Lagos
JP	Minokamo	8451273061922	Asia/Tokyo
IN	Talipparamba	6158098412428	Asia/Kolkata
AO	Luena	5724664249760	Africa/Luanda
CN	Shuangcheng	0561439296087	Asia/Shanghai
RU	Tver	8678113240631	Europe/Moscow
US	Odessa	4321129159667	America/Chicago
GB	Cowes	3662762979207	Europe/London
US	Keene	9440713954497	America/New_York
BR	Alfenas	5578631716218	America/Sao_Paulo
TL	Maliana	5183790261433	Asia/Dili
KR	Sinhyeon	0279635216081	Asia/Seoul
US	Iron River	6884966610015	America/Menominee
FR	Mitry-Mory	4075191442508	Europe/Paris
BR	Porto Velho	9440255057199	America/Porto_Velho
BE	Wevelgem	3537875718619	Europe/Brussels
JP	Kamakura	2159725589845	Asia/Tokyo
BR	Alfenas	8261820453922	America/Sao_Paulo
HK	Tsuen Wan	5850192736851	Asia/Hong_Kong
RU	Volokolamsk	5387273017399	Europe/Moscow
PK	Kanganpur	4721193398090	Asia/Karachi
ZA	Mokopane	8642393564282	Africa/Johannesburg
IT	Lanciano	8441979196257	Europe/Rome
CU	Media Luna	4555014250058	America/Havana
FR	La Garenne-Colombes	3581185559707	Europe/Paris
PH	Baliuag	0050308361761	Asia/Manila
RU	Bogoroditsk	6997171691035	Europe/Moscow
US	Lakewood	6836649309730	America/New_York
US	American Canyon	9882044122785	America/Los_Angeles
GB	Strood	2410164980144	Europe/London
KH	Paoy Paet	2286903522919	Asia/Phnom_Penh
MK	Saraj	2964354485648	Europe/Skopje
DE	Nidderau	0905067177903	Europe/Berlin
TR	Gaziantep	9115441329878	Europe/Istanbul
RU	Tavda	4453895313278	Asia/Yekaterinburg
MX	San Lorenzo Acopilco	8887707362394	America/Mexico_City
RS	Sremska Mitrovica	9735503462123	Europe/Belgrade
US	Jersey City	6225654307693	America/New_York
AT	Floridsdorf	9097508529806	Europe/Vienna
KR	Eisen	2221261321521	Asia/Seoul
TD	Mongo	9697397889519	Africa/Ndjamena
CN	Nanpiao	2282809868946	Asia/Shanghai
AU	Carindale	0174218623419	Australia/Brisbane
IR	Darreh Shahr	1216885623978	Asia/Tehran
US	Kent	8606406776512	America/Los_Angeles
UA	Lutsk	9320347753881	Europe/Kiev
RU	Beryozovsky	4592619643762	Asia/Yekaterinburg
JP	Yamada	0492403579458	Asia/Tokyo
FR	Bar-le-Duc	1216715141443	Europe/Paris
TR	Silvan	0574510173450	Europe/Istanbul
BE	Mouscron	4344948751003	Europe/Brussels
AO	Luena	9483033291248	Africa/Luanda
PH	Sorsogon	4148795952466	Asia/Manila
PH	Pilar	6089432095062	Asia/Manila
US	Muskogee	6550831399513	America/Chicago
US	Pekin	9610239147608	America/Chicago
US	Gilbert	7371655544458	America/Phoenix
CN	Meizhou	9678510706449	Asia/Shanghai
UG	Paidha	0914357002016	Africa/Kampala
US	Palm Valley	5832387550947	America/New_York
IN	Sheoganj	8537515079211	Asia/Kolkata
FR	Pamiers	4356993060894	Europe/Paris
RU	Ulan-Ude	0820323476036	Asia/Irkutsk
UA	Zvenihorodka	3161759834623	Europe/Kiev
RU	Novosilikatnyy	8271137556056	Asia/Barnaul
MM	Myawadi	5198258054007	Asia/Yangon
MA	Azrou	3271049288354	Africa/Casablanca
US	Riverbank	0805522782744	America/Los_Angeles
PE	Minas de Marcona	8779180384027	America/Lima
BR	Pato Branco	5963544984654	America/Sao_Paulo
CN	Xiangtan	4830312818477	Asia/Shanghai
DE	Ehingen	2095629238710	Europe/Berlin
EG	Juhaynah	9009136653204	Africa/Cairo
MX	Zacoalco de Torres	9533492137370	America/Mexico_City
ES	Leioa	9203239427629	Europe/Madrid
TZ	Mvomero	9828356331378	Africa/Dar_es_Salaam
GB	Clacton-on-Sea	1614591471829	Europe/London
AU	Frankston South	6789333848995	Australia/Melbourne
MY	Batu Feringgi	2788442111031	Asia/Kuala_Lumpur
US	Cypress Hills	3763860256273	America/New_York
MX	Teziutlan	9108132826305	America/Mexico_City
GB	Bushey	4111089295754	Europe/London
VE	Barinas	2868477225276	America/Caracas
RU	Zhukovka	2843406193697	Europe/Moscow
NL	Hardenberg	2485806789201	Europe/Amsterdam
MX	Teziutlan	2831741320571	America/Mexico_City
US	Palm Desert	3772094005502	America/Los_Angeles
TD	Mongo	3886092526720	Africa/Ndjamena
ES	Talavera de la Reina	3884111238272	Europe/Madrid
KE	Nyahururu	7801844426741	Africa/Nairobi
AR	Chacabuco	4218730569971	America/Argentina/Buenos_Aires
MD	Soroca	9259831009626	Europe/Chisinau
PH	San Jose	2846575752283	Asia/Manila
PH	Jagna	6104072341857	Asia/Manila
US	American Canyon	3975063701911	America/Los_Angeles
VE	Tinaquillo	5285415259372	America/Caracas
IR	Aleshtar	6882497541105	Asia/Tehran
BG	Smolyan	0012095623361	Europe/Sofia
DE	Zeitz	9618166762727	Europe/Berlin
KE	Lodwar	8717422721582	Africa/Nairobi
US	New City	1297045938910	America/Chicago
TR	Yakuplu	5771067387261	Europe/Istanbul
CN	Shaowu	2590577971561	Asia/Shanghai
NG	Ilesa	8180971070683	Africa/Lagos
DE	Ehingen	6963976093558	Europe/Berlin
TZ	Iringa	6244681014190	Africa/Dar_es_Salaam
CN	Xiangtan	3524991790520	Asia/Shanghai
CN	Guli	1860674322759	Asia/Shanghai
US	Lexington	3557508558566	America/New_York
IN	Kenda	9564410811638	Asia/Kolkata
TH	Tak Bai	3308499905767	Asia/Bangkok
DE	Pfullingen	8036043842934	Europe/Berlin
IT	Somma Vesuviana	7367169281965	Europe/Rome
IT	Lanciano	2400126339790	Europe/Rome
CN	Shuangcheng	1170813196333	Asia/Shanghai
IT	Afragola	2329891187842	Europe/Rome
CO	Madrid	8784632435875	America/Bogota
US	Pottstown	0228896354278	America/New_York
DE	Oschatz	2686100476204	Europe/Berlin
UA	Artsyz	3535411602415	Europe/Kiev
US	Middle River	2633446217046	America/New_York
TN	Beni Khiar	0294330193925	Africa/Tunis
IT	Bisceglie	7443358207463	Europe/Rome
KZ	Otegen Batyra	8916935226533	Asia/Almaty
US	Woodlawn	0728267553083	America/New_York
BR	Marau	7884613274637	America/Sao_Paulo
AR	Ushuaia	4951265135302	America/Argentina/Ushuaia
IT	Chiavari	8928896668208	Europe/Rome
GB	Inverness	5688686489903	Europe/London
US	Pottstown	3116382771302	America/New_York
CN	Hengshui	2721542957628	Asia/Shanghai
US	Pekin	2699123074814	America/Chicago
IT	Mesagne	2502503540246	Europe/Rome
TR	Sungurlu	8020059203810	Europe/Istanbul
JP	Motomachi	6535581312913	Asia/Tokyo
US	Rolla	8475909971379	America/Chicago
BY	Vitebsk	6942877477063	Europe/Minsk
JP	Shimotoda	7405807245877	Asia/Tokyo
ME	Budva	2877628584773	Europe/Podgorica
IR	Darreh Shahr	0929592835831	Asia/Tehran
PH	Pilar	7487965335553	Asia/Manila
CN	Laiwu	9865069255997	Asia/Shanghai
BR	Recife	2173523088713	America/Recife
CF	Carnot	3441818390599	Africa/Bangui
CM	Tonga	6707606688925	Africa/Douala
CN	Jiangyan	3691506491934	Asia/Shanghai
IN	Rajaori	8216441093651	Asia/Kolkata
US	Milledgeville	3569380249074	America/New_York
RU	Otradnyy	6463009618265	Europe/Samara
BR	Itacoatiara	8019024581183	America/Manaus
CN	Heyuan	7122853749936	Asia/Shanghai
DE	Gifhorn	6486577939990	Europe/Berlin
IN	Jais	5703495955873	Asia/Kolkata
MX	Teziutlan	3782646438719	America/Mexico_City
JP	Hakodate	5865373832147	Asia/Tokyo
PH	Dipolog	2780983059995	Asia/Manila
US	Middletown	5887248858762	America/New_York
US	Lompoc	6892250068725	America/Los_Angeles
FR	Elbeuf	4437871518772	Europe/Paris
CA	Markham	7513285670118	America/Toronto
TR	Silvan	7963291710009	Europe/Istanbul
MX	Acaponeta	3470136183156	America/Mazatlan
SY	Tadmur	1133234498547	Asia/Damascus
US	Aurora	3824416990949	America/Denver
RU	Lesnoy	6966599411518	Asia/Yekaterinburg
FR	Vienne	0708211656978	Europe/Paris
ID	Labuhan Deli	2006595247255	Asia/Jakarta
US	Nutley	4627475959945	America/New_York
CN	Huangshi	4193366718583	Asia/Shanghai
US	Lino Lakes	3737111760765	America/Chicago
IN	Kundla	0366335941549	Asia/Kolkata
CA	Norfolk County	6535730322206	America/Toronto
HT	Croix-des-Bouquets	1878410708231	America/Port-au-Prince
KR	Eisen	6267136795253	Asia/Seoul
MX	Heroica Matamoros	4394140462825	America/Matamoros
JM	New Kingston	4931718596225	America/Jamaica
US	Keizer	9643618611315	America/Los_Angeles
GB	Winsford	3119108302200	Europe/London
US	Lebanon	4118521547587	America/New_York
IT	Somma Vesuviana	1043707218261	Europe/Rome
DE	Bad Segeberg	1957958797454	Europe/Berlin
FR	Talence	2978076066191	Europe/Paris
RU	Solntsevo	0264114750248	Europe/Moscow
IN	Pujali	6627889973009	Asia/Kolkata
LY	Ajdabiya	8658354808821	Africa/Tripoli
ID	Besuki	8341418979628	Asia/Jakarta
NG	Yenagoa	0507301466172	Africa/Lagos
PT	Paredes	9397263683110	Europe/Lisbon
PL	Brzeg	3178168802952	Europe/Warsaw
DO	Santa Cruz de Barahona	4514765034980	America/Santo_Domingo
NG	Yenagoa	8524971601681	Africa/Lagos
BR	Soledade	8279237093419	America/Sao_Paulo
CA	Sydney	4685999329002	America/Glace_Bay
US	Granger	2366501548716	America/Indiana/Indianapolis
CA	Sherwood Park	4251600144298	America/Edmonton
CN	Laiwu	3365258864451	Asia/Shanghai
IN	Hungund	6254669595542	Asia/Kolkata
TR	Aksaray	1095338849376	Europe/Istanbul
DE	Bad Segeberg	4651112840471	Europe/Berlin
US	Aloha	4267811427112	America/Los_Angeles
US	Chillum	6948842032213	America/New_York
FR	Le Chesnay	2520498017147	Europe/Paris
US	Palm Desert	0795095903694	America/Los_Angeles
BD	Kushtia	8764106196037	Asia/Dhaka
IN	Pujali	0219115374047	Asia/Kolkata
SO	Baki	4959060702033	Africa/Mogadishu
MX	San Lorenzo Acopilco	6989812572797	America/Mexico_City
IN	Pune	6488464638573	Asia/Kolkata
PA	Chilibre	8179360899806	America/Panama
BR	Catende	7979160893148	America/Recife
IT	Francavilla Fontana	2730133923874	Europe/Rome
US	Massapequa	3260476531683	America/New_York
RU	Kolomyagi	8632092397328	Europe/Moscow
UA	Lutsk	4098955842642	Europe/Kiev
CN	Laiwu	0662118260815	Asia/Shanghai
PK	Khairpur Mir’s	7589085682750	Asia/Karachi
GB	Southsea	6963848457808	Europe/London
BY	Novogrudok	6841550000676	Europe/Minsk
AZ	Qazax	6989963287878	Asia/Baku
UA	Svatove	4552185659109	Europe/Zaporozhye
IT	Sassari	6510749483056	Europe/Rome
PH	Calauan	9204821948911	Asia/Manila
JP	Inawashiro	3243180739163	Asia/Tokyo
TH	Thap Than	5442646362749	Asia/Bangkok
DE	Zeitz	2692916080894	Europe/Berlin
IT	Villabate	8908345285002	Europe/Rome
DE	Eppingen	2059247464869	Europe/Berlin
US	Woodlawn	0508336112874	America/New_York
RU	Yeysk	2546638481913	Europe/Moscow
US	Huntley	0052368359986	America/Chicago
KE	Busia	9893540139917	Africa/Nairobi
RU	Kovylkino	8673563103383	Europe/Moscow
GB	Great Wyrley	1665157041260	Europe/London
US	Abilene	0221886713352	America/Chicago
ES	Puertollano	4446990204602	Europe/Madrid
GB	Clacton-on-Sea	6043586686224	Europe/London
RU	Izluchinsk	3192286772461	Asia/Yekaterinburg
CA	Charlottetown	1890229975253	America/Halifax
US	Boston	8886802994547	America/New_York
FR	Talence	2101851796321	Europe/Paris
MX	Zacoalco de Torres	3164643976621	America/Mexico_City
AR	Aguilares	9637045981608	America/Argentina/Tucuman
TR	Gaziantep	4069528749927	Europe/Istanbul
BE	Lille	9674451832919	Europe/Brussels
MG	Ikalamavony	0799957061263	Indian/Antananarivo
DE	Landshut	6745448921091	Europe/Berlin
ID	Simpang	1681559712065	Asia/Jakarta
IN	Supaul	6835870296659	Asia/Kolkata
TR	Mudanya	5596873557536	Europe/Istanbul
US	Palestine	4352324456909	America/Chicago
IT	Mesagne	6644173304868	Europe/Rome
FR	Marseille 11	0960512028216	Europe/Paris
GB	Arbroath	6467484031137	Europe/London
AR	Esperanza	5157089677823	America/Argentina/Cordoba
MM	Myawadi	3619965134131	Asia/Yangon
US	Milledgeville	5412304838817	America/New_York
SV	Ilopango	6375418109541	America/El_Salvador
US	West Des Moines	7287181089021	America/Chicago
IN	Kalavoor	8237098289426	Asia/Kolkata
BR	Loanda	2700502099004	America/Sao_Paulo
DE	Weimar	3213466656194	Europe/Berlin
US	Leland	3169663960049	America/New_York
UZ	Parkent	0870487978624	Asia/Tashkent
UA	Lutsk	1610152864987	Europe/Kiev
IR	Aleshtar	2609884571460	Asia/Tehran
US	Schererville	9432103779773	America/Chicago
IT	Castelfranco Emilia	3729517059765	Europe/Rome
IN	Jais	7663051793579	Asia/Kolkata
PK	Kanganpur	5901634098126	Asia/Karachi
KE	Lodwar	9540829284324	Africa/Nairobi
IT	Ragusa	5215979433727	Europe/Rome
GB	Chapletown	0045084647772	Europe/London
RS	Sremska Mitrovica	1501444086302	Europe/Belgrade
PH	San Jose	0242686295558	Asia/Manila
RU	Yablonovskiy	6514134820181	Europe/Moscow
CL	La Ligua	6575646311642	America/Santiago
DE	Schleswig	6070359287517	Europe/Berlin
US	Abilene	6438520318758	America/Chicago
VE	Ciudad Guayana	0773696952389	America/Caracas
CN	Hushitai	1541500982629	Asia/Shanghai
CN	Jiangyan	4245272867531	Asia/Shanghai
IT	Villabate	2023756356038	Europe/Rome
US	North Lauderdale	6524513387167	America/New_York
PH	Burgos	5313750777005	Asia/Manila
IN	Rafiganj	4685409438454	Asia/Kolkata
IR	Aleshtar	8434018723774	Asia/Tehran
CG	Brazzaville	9735286772815	Africa/Brazzaville
GB	Bushey	6781894501913	Europe/London
CF	Carnot	1949908653248	Africa/Bangui
US	Norwalk	9227808822141	America/New_York
NA	Okahandja	6584579821487	Africa/Windhoek
PK	Naushahra Virkan	5940598242626	Asia/Karachi
DE	Albstadt	9409112884002	Europe/Berlin
KZ	Zaysan	9911188060803	Asia/Almaty
US	Kearns	2959015184985	America/Denver
US	Rosemount	2564710820320	America/Chicago
DE	Stade	3823703805171	Europe/Berlin
PE	Chosica	5503325079317	America/Lima
BR	Artur Nogueira	9134532745380	America/Sao_Paulo
BR	Alfenas	1383771941109	America/Sao_Paulo
CH	Onex	1784248162483	Europe/Zurich
US	Bridgeport	5128159461345	America/New_York
DE	Karben	9418017739805	Europe/Berlin
US	Front Royal	2188303291689	America/New_York
IN	Dalsingh Sarai	9318087462712	Asia/Kolkata
IN	Gingee	4847291516195	Asia/Kolkata
DE	Gifhorn	8294547960503	Europe/Berlin
BR	Soledade	5064297487253	America/Sao_Paulo
LT	Alytus	6806052191574	Europe/Vilnius
FR	Pamiers	0940447158066	Europe/Paris
JP	Shimotoda	2571377076434	Asia/Tokyo
CN	Sishui	4970409286182	Asia/Shanghai
DE	Charlottenburg-Nord	1603740685170	Europe/Berlin
PK	Alipur	5438108419526	Asia/Karachi
CO	Puerto Colombia	8139572933347	America/Bogota
JP	Ina	1924897613763	Asia/Tokyo
BE	Houthalen	8236813550049	Europe/Brussels
US	Estelle	1277250517834	America/Chicago
NL	Oldenzaal	7784947569518	Europe/Amsterdam
IE	Athlone	6881952375439	Europe/Dublin
DE	Bad Segeberg	5562873431008	Europe/Berlin
US	Brentwood Estates	3091615722781	America/Chicago
FR	Gonesse	4172487261741	Europe/Paris
FR	Vienne	4141250960686	Europe/Paris
FR	Cavaillon	9623511982156	Europe/Paris
JP	Shinshiro	7746667119817	Asia/Tokyo
IN	Deoli	0860622792826	Asia/Kolkata
RU	Kachkanar	6400014207152	Asia/Yekaterinburg
ES	Gernika-Lumo	5524979812730	Europe/Madrid
CO	Socorro	6076708432812	America/Bogota
DE	Schwalmtal	8528354663624	Europe/Berlin
GB	Winsford	1188470992694	Europe/London
ID	Besuki	3201586475962	Asia/Jakarta
GB	Exeter	8435455437279	Europe/London
TR	Patnos	6042848285014	Europe/Istanbul
CR	San Rafael	6423204890330	America/Costa_Rica
FR	Lons-le-Saunier	4338990873745	Europe/Paris
NG	Yenagoa	5569491181322	Africa/Lagos
BD	Kushtia	4175115303462	Asia/Dhaka
RU	Privolzhskiy	7360605719152	Europe/Saratov
TR	Bergama	7633128877150	Europe/Istanbul
US	Pottstown	3437707991015	America/New_York
IR	Aleshtar	5008192662537	Asia/Tehran
RO	Sector 6	2268621532067	Europe/Bucharest
FR	Les Olives	4266124122455	Europe/Paris
RU	Yeysk	3566503036252	Europe/Moscow
DO	Santa Cruz de Barahona	8782062305997	America/Santo_Domingo
IT	Castelfranco Emilia	2433509155359	Europe/Rome
AR	Esperanza	9187457437175	America/Argentina/Cordoba
IT	Ariccia	4424758860567	Europe/Rome
TZ	Chanika	2579753907648	Africa/Dar_es_Salaam
IN	Madhipura	1752353978589	Asia/Kolkata
DE	Oschatz	1102250417542	Europe/Berlin
US	Claremont	0746166911087	America/Los_Angeles
CL	La Ligua	3248243191087	America/Santiago
NL	Vught	3318660570557	Europe/Amsterdam
MG	Ikalamavony	8591253222896	Indian/Antananarivo
DE	Bad Segeberg	1026959993605	Europe/Berlin
BA	Bijeljina	6463979565897	Europe/Sarajevo
US	Aloha	5934318803013	America/Los_Angeles
IN	Chamba	9390144218258	Asia/Kolkata
AU	Willetton	5763099132032	Australia/Perth
NG	Kafanchan	6078200601505	Africa/Lagos
MQ	Le Robert	7135912831923	America/Martinique
PK	Naushahra Virkan	6599123175756	Asia/Karachi
VE	La Victoria	2316287950593	America/Caracas
CN	Dongfeng	6544111407562	Asia/Shanghai
PE	Yunguyo	9334667195696	America/Lima
TW	Magong	4214175046831	Asia/Taipei
AT	Floridsdorf	0209579691491	Europe/Vienna
IN	Alwaye	5909819641501	Asia/Kolkata
SL	Freetown	6591499127735	Africa/Freetown
BE	Houthalen	0764520950022	Europe/Brussels
JP	Fujioka	6914396381756	Asia/Tokyo
SV	Sonzacate	7250453536332	America/El_Salvador
DE	Bensheim	9289728280944	Europe/Berlin
US	Saratoga Springs	4254486331981	America/Denver
TH	Bang Ban	4228029838619	Asia/Bangkok
US	Bothell West	2916231734295	America/Los_Angeles
JP	Inawashiro	8965946276167	Asia/Tokyo
US	Keene	6653224110150	America/New_York
US	Lompoc	5407926622388	America/Los_Angeles
IN	Aklera	5695028040098	Asia/Kolkata
US	Mira Mesa	9920324613872	America/Los_Angeles
ID	Sukabumi	8561177345001	Asia/Jakarta
IT	Portogruaro	6442082624790	Europe/Rome
GB	Devizes	3173652372317	Europe/London
IN	Sathyamangalam	4715700466198	Asia/Kolkata
US	Toledo	9025375506378	America/New_York
US	Aloha	0889572066122	America/Los_Angeles
JP	Shinshiro	0384080352700	Asia/Tokyo
BE	Beveren	6980471738852	Europe/Brussels
DE	Bensheim	4320789755660	Europe/Berlin
DE	Dahlem	1119929634766	Europe/Berlin
US	Keizer	6590307921459	America/Los_Angeles
BR	Pedro II	7088202004050	America/Fortaleza
RU	Kolomyagi	9311043383717	Europe/Moscow
DE	Oberhausen	2871826788810	Europe/Berlin
YE	Ataq	0917185993051	Asia/Aden
IT	Ventimiglia	7034218481064	Europe/Rome
NG	Kafanchan	4444756551526	Africa/Lagos
US	Lower West Side	8874518153693	America/Chicago
US	Estelle	5862505508352	America/Chicago
CA	Kelowna	7276365117315	America/Vancouver
FI	Tornio	1652080165903	Europe/Helsinki
US	Ken Caryl	4539423359304	America/Denver
IN	Chharra	3903525355167	Asia/Kolkata
NZ	Gisborne	3830788868601	Pacific/Auckland
US	Sunnyside	5175957340136	America/Los_Angeles
IN	Moga	1306846272786	Asia/Kolkata
CA	Sainte-Catherine	1986335322231	America/Toronto
DE	Albstadt	9627650554601	Europe/Berlin
CN	Jingzhou	1101981961645	Asia/Shanghai
FR	Bobigny	5774701999776	Europe/Paris
US	Scarsdale	4519184776626	America/New_York
ET	Arba Minch	8585512868826	Africa/Addis_Ababa
GB	Rutherglen	1580039617329	Europe/London
DE	Gronau	9366102605842	Europe/Berlin
BR	Barras	1575108069888	America/Fortaleza
IQ	Karbala	8154732765675	Asia/Baghdad
ES	Ferrol	8397838169842	Europe/Madrid
RU	Severodvinsk	6762626498022	Europe/Moscow
DZ	Boumerdas	8631036168437	Africa/Algiers
CL	La Ligua	0234699432402	America/Santiago
IN	Madhipura	2128539908227	Asia/Kolkata
US	Vestavia Hills	9536856495130	America/Chicago
NO	Harstad	9016549718833	Europe/Oslo
MW	Salima	1585255042504	Africa/Blantyre
US	Front Royal	3300087985137	America/New_York
US	Norwalk	5275582928959	America/New_York
DE	Gronau	8146786229432	Europe/Berlin
US	Kaukauna	2456554251562	America/Chicago
FR	Colomiers	3057213792649	Europe/Paris
DE	Trossingen	3784476770144	Europe/Berlin
US	Keene	8114933900985	America/New_York
US	Glendale	2394108173208	America/Los_Angeles
IR	Darreh Shahr	9229621973925	Asia/Tehran
MG	Sakaraha	2323699268567	Indian/Antananarivo
IT	Ariccia	0008945891738	Europe/Rome
RU	Zhukovka	8408517682931	Europe/Moscow
RU	Likhobory	0917646049433	Europe/Moscow
US	Visitacion Valley	2766719634421	America/Los_Angeles
GB	Aberdeen	5343452256171	Europe/London
IN	Bhuban	7690447832055	Asia/Kolkata
BR	Valinhos	5579747557665	America/Sao_Paulo
US	Fairview Heights	2654435132492	America/Chicago
ID	Simpang	3389453478695	Asia/Jakarta
US	Cypress Hills	1602082255874	America/New_York
DE	Eppingen	1721856003166	Europe/Berlin
IN	Sathyamangalam	6168492199184	Asia/Kolkata
US	Davis	2146022263752	America/Los_Angeles
CO	Buenaventura	0505613715964	America/Bogota
GB	Barnet	4080377061275	Europe/London
SD	Ar Ruseris	7224045338444	Africa/Khartoum
IN	Rafiganj	2348569753851	Asia/Kolkata
DE	Bensheim	3220740714341	Europe/Berlin
DE	Hofheim am Taunus	9846511463504	Europe/Berlin
US	Nutley	0010364808839	America/New_York
DE	Landshut	9411487477826	Europe/Berlin
IN	Pune	5678096058998	Asia/Kolkata
DO	Santa Cruz de Barahona	9292807251179	America/Santo_Domingo
CN	Dongfeng	4028996862064	Asia/Shanghai
RU	Saraktash	2691247606476	Asia/Yekaterinburg
RU	Privolzhskiy	4382761808368	Europe/Saratov
IN	Davangere	3297393830629	Asia/Kolkata
IN	Lal Bahadur Nagar	5745670116860	Asia/Kolkata
GB	Rutherglen	5207311944381	Europe/London
US	Abilene	7509774605327	America/Chicago
RU	Lesnoy	7329045877099	Asia/Yekaterinburg
NG	Kafanchan	0988594240562	Africa/Lagos
US	West Des Moines	9581147798544	America/Chicago
BR	Barras	1677411526932	America/Fortaleza
BR	Resplendor	7759354923734	America/Sao_Paulo
DZ	Frenda	1740160098019	Africa/Algiers
MG	Antanifotsy	5316872497684	Indian/Antananarivo
DZ	Messaad	2049563025608	Africa/Algiers
US	Palm Valley	7638015259347	America/New_York
RU	Lesnoy	9681799503494	Asia/Yekaterinburg
MX	Santa Rosa Jauregui	8255587057073	America/Mexico_City
CI	Lakota	3061432030468	Africa/Abidjan
US	Tupelo	6537281494432	America/Chicago
MD	Soroca	3258015229900	Europe/Chisinau
PH	Burgos	3749256186133	Asia/Manila
BR	Nova Xavantina	7338927108879	America/Cuiaba
GH	Mampong	2356992456928	Africa/Accra
BR	Lagarto	1962486407874	America/Maceio
GB	Newbury	1203936074056	Europe/London
RU	Otradnyy	2063561547962	Europe/Samara
US	Sicklerville	8926852286503	America/New_York
TZ	Magomeni	6765352022523	Africa/Dar_es_Salaam
MX	Teziutlan	0791506155836	America/Mexico_City
CA	Beaconsfield	6137504927633	America/Toronto
KR	Hongseong	4835258123135	Asia/Seoul
PL	Zgorzelec	4394038677973	Europe/Warsaw
PS	East Jerusalem	3939968838516	Asia/Hebron
IT	Afragola	6970542559509	Europe/Rome
FR	Sceaux	1365547671359	Europe/Paris
SL	Freetown	2005770656530	Africa/Freetown
PK	Daud Khel	3807296058992	Asia/Karachi
DE	Hofheim am Taunus	3645130209557	Europe/Berlin
TR	Silvan	0449709088542	Europe/Istanbul
GB	Lancing	7203249245369	Europe/London
US	Rosemount	6391681728838	America/Chicago
US	Stockbridge	9762173884290	America/New_York
CA	Sainte-Catherine	1366815444019	America/Toronto
US	Jersey City	4153372213557	America/New_York
DE	Landshut	7551933582543	Europe/Berlin
